Run,UnixTime_midRun,runduration,Activity_mBq_per_m3,Uncertainty_mBq_per_m3,A_fit_T_cont,SE_A_fit_T_const, A_stat, SE_A_stat, Chi2,Ndf,Prob,TotEntry,mean_alpha_range,SE_mean_alpha_range
1546,1744322605,38481.000,30.836595788,1.355162832,31.012036057,1.313950461,30.720880234,1.273421456,43.586180703,47,0.614764904,582,246.9014152463,2.7761554245
1547,1744351974,16444.900,0.003222064,2.781461512,32.207999913,2.059003765,32.114349618,1.991647416,488.491577886,47,0.000000000,260,244.1195904697,4.5898426472
1563,1744421124,12335.000,39.597230879,2.695920548,40.035753490,2.621714071,39.027093799,2.535082161,25.313431132,47,0.995950517,237,246.7234108151,4.5292953985
1564,1744447195,28799.700,52.558332602,1.904782279,51.883943125,1.996825913,51.415798455,1.904288832,32.180795614,47,0.951179993,729,247.1755701058,2.7174413726
1567,1744484280,43199.900,56.419481309,1.749537315,56.169102436,1.694007378,55.999743787,1.622669822,52.719567610,47,0.262477310,1191,248.1884868371,2.1824324723
1568,1744518655,25528.000,55.653589320,2.344690336,55.392459231,2.089231790,54.743009246,2.087057661,29.292157826,47,0.979992102,688,246.0850837244,2.8269602021
1569,1744540379,15410.600,51.846715920,2.893893636,52.223456768,2.761710290,52.327258113,2.626229803,56.798485562,47,0.154912933,397,245.7068770893,3.7221170921
1572,1744570765,43200.000,56.874330641,1.728893062,56.419869175,1.690716960,56.093652134,1.624027934,52.663228818,47,0.264233955,1193,245.2238307237,2.0992629552
1573,1744613975,43200.300,59.964030199,1.779978909,59.432279912,1.751562440,59.243512885,1.668996899,49.369876257,47,0.378664668,1260,247.2148011709,2.0918535099
1574,1744641885,12600.400,64.715847547,3.187969167,64.995502889,3.317430824,63.030310332,3.187579805,29.780001014,47,0.976409077,391,238.7101416532,3.7325530985
1577,1744670855,43200.400,66.727045383,1.896493337,67.128985789,1.837367799,66.907399754,1.773665433,59.479023673,47,0.104638709,1423,248.6184919391,1.9763692721
1578,1744711148,36525.300,65.111777469,1.887557384,64.192879412,1.998840547,64.064244276,1.887510898,43.954573065,47,0.599462952,1152,249.5997029753,2.1747404806
1581,1744751429,41891.000,69.127036053,1.905347288,68.802411265,1.872074460,68.222933522,1.818793280,43.418220903,47,0.621712649,1407,250.5465882895,1.9558351544
1582,1744794800,43199.900,66.764354811,1.911045360,67.105880004,1.848580120,67.190288726,1.777421352,56.178915071,47,0.168761615,1429,248.7750779148,1.9293035500
1585,1744819588,2669.000,85.786776543,8.263956207,81.492532979,7.469421952,72.298960232,7.417716808,34.196818534,47,0.918272364,95,255.6602685865,6.8890069094
1586,1744832628,6114.000,72.652452641,4.602100830,63.416837346,4.556583577,62.458195812,4.555232101,34.986985254,47,0.902066375,188,248.2977677306,5.7787966197
1587,1744837355,1555.000,56.732292270,10.827935079,60.589049943,10.082867504,64.006297634,9.143756805,34.670387073,47,0.908791024,49,223.5888129479,11.0301168504
1588,1744842312,5870.000,64.746391199,4.683942776,63.308730625,4.952040455,63.324243251,4.681062758,44.643052460,47,0.570703882,183,247.9048704605,5.1042875431
1589,1744876626,43200.500,67.729172233,1.921561269,67.777535120,1.852150689,67.377429311,1.779882536,47.009719489,47,0.472163820,1433,248.9114109158,1.9416350649
1592,1744920907,43199.400,69.176284895,1.894131528,68.946526320,1.844745719,68.225498495,1.791071863,49.396613245,47,0.377651356,1451,247.2904589438,1.8773479789
1593,1744947310,9585.000,68.575735427,3.930547037,68.629194280,3.898397874,68.660966592,3.814498144,51.739125398,47,0.294064162,324,245.5749116650,4.0636945906
1594,1744964878,15442.200,69.196502311,3.215313229,70.451115684,3.126107703,70.635355099,3.048140560,39.958019683,47,0.756915803,537,245.9976284801,3.1799070093
1604,1745018117,43199.000,65.022063832,1.892313727,65.837501935,1.834813461,66.439367340,1.767479590,44.151957829,47,0.591234985,1413,246.9404828749,1.9382628765
1605,1745054126,28800.200,68.668059782,2.227150515,68.774734341,2.214261916,68.271095801,2.194316127,52.376513313,47,0.273285203,968,252.4357126974,2.2379385188
1608,1745091195,43200.300,65.541882924,1.741626394,64.958179723,1.798371205,64.509602920,1.741595577,48.134247024,47,0.426710836,1372,247.0066767332,1.9499201471
1609,1745120685,15759.000,69.926175165,3.054426681,69.705977054,3.040162816,69.344279509,2.989644177,48.981569510,47,0.393513715,538,249.7506084555,3.2368490470
1610,1745146706,29621.400,60.422740471,2.148888859,60.469094158,2.104544904,60.412575048,2.035351368,42.862356827,47,0.644542455,881,251.5196383427,2.4156111061
1613,1745184214,43200.300,51.534474484,1.649554549,51.319547082,1.618710210,51.391396495,1.554462818,54.512425177,47,0.210412032,1093,251.6852571163,2.2181520421
1614,1745225857,40068.500,53.673421452,1.801240875,54.148844699,1.734219470,54.394333224,1.660557034,56.087824868,47,0.170871533,1073,253.3048911783,2.1979493123
1617,1745268557,43200.100,49.624457648,1.573976518,49.458716591,1.565278761,49.463860391,1.525036148,74.296168366,47,0.006775059,1052,255.0336393786,2.2019147665
1618,1745311768,43200.100,53.218803902,1.671219571,53.586041118,1.630394432,53.366427323,1.584054788,56.302690122,47,0.165925117,1135,249.4352328921,2.1291308526
1621,1745356237,43200.400,59.762302456,1.799032887,60.247385570,1.747522990,60.512876658,1.686780320,47.274679921,47,0.461334121,1287,250.3589193288,2.0555353266
1622,1745380271,4847.000,68.770773642,5.335903259,68.484354456,5.657533351,67.888937980,5.333858713,38.094147057,47,0.819643813,162,242.7945290749,5.8195152498
1623,1745400571,32933.800,62.524821724,2.213540035,62.643261475,2.104548433,63.464454428,1.978439907,57.749554269,47,0.135326097,1029,251.7556972347,2.1653324843
1626,1745439710,43199.900,65.633702871,1.928589378,66.432356469,1.863573445,67.331346015,1.779286106,33.415867250,47,0.932421796,1432,252.7353218196,1.8988225811
1627,1745466362,10082.000,55.365993700,3.948520457,56.087460729,3.755912306,59.030701911,3.448610428,34.061726808,47,0.920851274,293,248.4813936474,4.2962832205
1628,1745478234,11005.000,70.456370411,3.994840706,70.522733413,3.587199930,69.583829046,3.583749524,44.376584196,47,0.581852663,377,248.6086379421,3.7302115591
1629,1745489133,9865.000,75.887850097,4.506030190,75.389665255,4.321292067,77.624940562,3.997887837,39.106737174,47,0.786671264,377,244.7020584855,3.7835592139
1632,1745517454,43200.500,70.554526528,1.897238677,70.234043915,1.873280013,69.916425252,1.813108237,53.029882575,47,0.252931668,1487,246.8549695022,1.8824066048
1633,1745556502,34874.100,69.137818542,2.113882297,69.200329906,2.061367804,68.670121623,1.999912128,41.809747613,47,0.686846920,1179,250.2613804258,2.0775834456
1643,1745618914,43200.400,62.678402988,1.814563302,62.282364573,1.787431491,62.440637297,1.713437587,54.315466090,47,0.215764356,1328,251.6916949053,2.0459667661
1644,1745658944,36841.300,61.853379902,2.024902470,61.733332320,1.967325088,62.742863519,1.859915461,50.859883723,47,0.324164166,1138,249.6769755044,2.2189952008
1647,1745700988,43001.000,57.718951125,1.713364099,57.581685344,1.697489276,57.439683686,1.647195898,44.844413601,47,0.562270752,1216,248.4117359664,2.1056546182
1648,1745740406,35416.300,59.121408248,1.947539007,59.175794831,1.911595511,59.360039610,1.845117412,42.632950433,47,0.653877372,1035,249.6368406761,2.1399208538
1651,1745780825,43201.000,56.379130395,1.685162556,56.166429318,1.673832163,56.280425296,1.626710595,57.474779997,47,0.140780592,1197,250.1458129393,2.0790720197
1652,1745809119,13365.000,64.399576765,3.092612288,63.161491870,3.300940191,62.919954233,3.092347044,49.465645150,47,0.375040683,414,251.2600479442,3.4319628650
1653,1745824604,16325.000,57.248939096,3.786187887,55.707731302,2.607238618,54.622094632,2.606970340,44.463999244,47,0.578197160,439,251.8599069917,3.4693283263
1654,1745833542,606.000,311.354135281,34.091567312,64.161279555,48.033971157,30.166637549,10.055545850,17.102612358,47,0.999981352,9,235.1819366400,31.8251231456
1657,1745835707,210.000,1047.715780243,19.649982254,39.276499548,19.680659264,38.689909746,19.344954873,14.595602781,47,0.999998534,4,247.7365941430,36.7564494854
1658,1745836289,26.000,1881291360.071447611,78.123856218,1881291360.071447611,78.123856218,78.123856218,78.123856218,1415.406542703,47,0.000000000,1,282.3098745082,0.0000000000
1659,1745859607,43201.000,60.470583953,1.805407115,60.209428535,1.751827311,59.947821431,1.678874809,49.656253106,47,0.367874645,1275,252.1061581388,1.9931535689
1660,1745917795,29959.900,65.731020050,2.246444880,66.157363512,2.189633373,66.238612133,2.119160949,47.165601193,47,0.465784563,977,245.5526493786,2.2455681378
1664,1745998660,43201.000,72.090074263,1.912240585,72.155184365,1.883313700,71.843349918,1.837912779,61.703044792,47,0.073621259,1528,251.0068013715,1.8666902779
1667,1746027511,11965.000,70.670608534,3.645490723,70.770205038,3.447579116,69.942561455,3.445822680,55.615964589,47,0.182107623,412,247.7278497355,3.7730126935
1668,1746055887,43201.000,72.993409819,1.942690409,72.621598957,1.914940668,72.595636305,1.847510300,53.367489756,47,0.242798279,1544,244.1604409334,1.7948244149
1669,1746091479,27965.200,69.953019920,2.306471536,70.256136542,2.277275561,69.437964690,2.245784275,39.516357032,47,0.772572324,956,248.3751972636,2.2871012459
1672,1746128131,43201.000,74.456024263,1.997206405,74.661964808,1.947534227,74.805477566,1.875418993,54.821455956,47,0.202197952,1591,246.4671776063,1.7964455141
