min_E_MeV,simulation_file,total_events,selected_events,efficiency,eff_uncertainty
0.05,Bi214_wire_surface_50M.root,93265832,137948,0.0014790840015237,3.979364475525922e-06
0.06,Bi214_wire_surface_50M.root,93265832,118686,0.0012725560631893,3.691481275305411e-06
0.07,Bi214_wire_surface_50M.root,93265832,100410,0.0010766000564922,3.3957210596375056e-06
0.08,Bi214_wire_surface_50M.root,93265832,82703,0.000886744890669,3.0820907591850904e-06
0.09,Bi214_wire_surface_50M.root,93265832,66254,0.0007103780514175,2.758856880417568e-06
0.1,Bi214_wire_surface_50M.root,93265832,52714,0.0005652016271081,2.461034209515114e-06
0.11,Bi214_wire_surface_50M.root,93265832,42294,0.0004534779682231,2.2045416985143346e-06
0.12,Bi214_wire_surface_50M.root,93265832,34218,0.0003668867715671,1.98301070691097e-06
0.13,Bi214_wire_surface_50M.root,93265832,27737,0.0002973972290302,1.7854290053140508e-06
0.14,Bi214_wire_surface_50M.root,93265832,22384,0.000240002147839,1.603962305252864e-06
0.15,Bi214_wire_surface_50M.root,93265832,17847,0.0001913562514512,1.4322488643214416e-06
