max_E_tot,simulation_file,total_events,selected_events,efficiency,eff_uncertainty
3.0,Bi214_wire_surface_50M.root,93265832,137948,0.0014790840015237,3.979364475525922e-06
3.1,Bi214_wire_surface_50M.root,93265832,137948,0.0014790840015237,3.979364475525922e-06
3.2,Bi214_wire_surface_50M.root,93265832,137948,0.0014790840015237,3.979364475525922e-06
3.3,Bi214_wire_surface_50M.root,93265832,137948,0.0014790840015237,3.979364475525922e-06
3.4,Bi214_wire_surface_50M.root,93265832,137948,0.0014790840015237,3.979364475525922e-06
3.5,Bi214_wire_surface_50M.root,93265832,137948,0.0014790840015237,3.979364475525922e-06
3.6,Bi214_wire_surface_50M.root,93265832,137948,0.0014790840015237,3.979364475525922e-06
3.7,Bi214_wire_surface_50M.root,93265832,137948,0.0014790840015237,3.979364475525922e-06
3.8,Bi214_wire_surface_50M.root,93265832,137948,0.0014790840015237,3.979364475525922e-06
3.9,Bi214_wire_surface_50M.root,93265832,137948,0.0014790840015237,3.979364475525922e-06
4.0,Bi214_wire_surface_50M.root,93265832,137948,0.0014790840015237,3.979364475525922e-06
