edge_buffer_mm,simulation_file,total_events,selected_events,efficiency,eff_uncertainty
45.0,Bi214_wire_surface_50M.root,93265832,137948,0.0014790840015237,3.979364475525922e-06
50.0,Bi214_wire_surface_50M.root,93265832,133206,0.0014282400868948,3.910470056357258e-06
55.0,Bi214_wire_surface_50M.root,93265832,120165,0.0012884139606453,3.714381184091666e-06
60.0,Bi214_wire_surface_50M.root,93265832,114414,0.0012267515074545,3.624519716272602e-06
65.0,Bi214_wire_surface_50M.root,93265832,112377,0.0012049107115669,3.592149039735262e-06
70.0,Bi214_wire_surface_50M.root,93265832,111851,0.0011992709184216,3.5837424594861733e-06
75.0,Bi214_wire_surface_50M.root,93265832,112592,0.0012072159502099,3.595579503344613e-06
80.0,Bi214_wire_surface_50M.root,93265832,111906,0.0011998606306326,3.584622401933677e-06
85.0,Bi214_wire_surface_50M.root,93265832,109945,0.0011788347098002,3.5531131773334982e-06
90.0,Bi214_wire_surface_50M.root,93265832,107517,0.0011528015961944,3.5137068724518424e-06
